SEVGI
TURKAN
SIBEL
SEMRA
HAYRIYE
ESRA
GULSUM
HALIME
SUKRAN
ARZU
DERYA
SERPIL
GULSEN
NURAY
ASIYE
NURCAN
GULAY
NURTEN
DONDU
GONUL
CIGDEM
HANIM
KEZIBAN
GULER
PINAR
MERAL
RUKIYE
HAVA
TUGBA
SANIYE
GULTEN
NURIYE
NACIYE
YILDIZ
SEHER
AYSEGUL
ZEKIYE
NECLA
REMZIYE
EBRU
EMEL
PERIHAN
TULAY
SEMA
SERAP
YETER
HURIYE
SAFIYE
ESMA
NAZMIYE
MAKBULE
NURAN
CANAN
NERMIN
SENGUL
MUNEVVER
SEVDA
RABIA
AYFER
NESLIHAN
SALIHA
FERIDE
HAMIDE
ZUBEYDE
MELIHA
GULLU
NERIMAN
ILKNUR
RAHIME
SAADET
MEDINE
GULCAN
MUZEYYEN
DUDU
GUL
HEDIYE
ARIFE
BURCU
GULSEREN
MERVE
AYSUN
MELAHAT
SADIYE
NESRIN
ZAHIDE
NAZIFE
BIRGUL
FIKRIYE
NAZLI
CENNET
ELMAS
NIHAL
HAFIZE
NIMET
NEVIN
KEZBAN
REYHAN
HABIBE
NURGUL
SEBAHAT
RAZIYE
BAHAR
SUKRIYE
BEDRIYE
LUTFIYE
SEDA
SUNA
YUKSEL
SATI
DENIZ
TUBA
NEBAHAT
NILGUN
SEMIHA
HATUN
DUYGU
MINE
ASLI
MEHTAP
KIYMET
SENAY
BIRSEN
SELDA
NESE
ALIYE
GAMZE
BETUL
SUZAN
SABRIYE
NEJLA
UMMU
KUBRA
SAKINE
GULUZAR
DONE
YELIZ
SEVIL
PAKIZE
AYLA
KAMILE
AZIZE
NUR
NEZAHAT
GULHAN
NURSEN
OZNUR
HASIBE
SAIME
SEVINC
NURSEL
FUNDA
SAZIYE
HILAL
NAIME
ADILE
NURHAN
NILUFER
ZUHAL
FAHRIYE
SEFIKA
OZGE
ZULEYHA
FIGEN
MELTEM
EDA
ELIFE
SINEM
DEMET
SABIHA
MEVLUDE
YESIM
GULBAHAR
SENEM
GULIZAR
FIDAN
DILBER
GULSAH
SUHEYLA
MELIKE
DURDANE
SIDIKA
FATIME
MUKADDES
KEVSER
UMMUHAN
SEVAL
ASUMAN
HUSNIYE
BEHIYE
IPEK
NAZAN
SEVILAY
BEYHAN
VESILE
ESME
INCI
HUSNE
NIGAR
MUAZZEZ
NAZIRE
NECMIYE
NURDAN
ULKU
FIRDEVS
SEYHAN
AZIME
BAHRIYE
GULCIN
VILDAN
HALISE
SELIME
NAILE
MEDIHA
GULDANE
KADER
HANDAN
ESIN
ALIME
SULE
ZOHRE
AYLIN
UMMUGULSUM
SABAHAT
AYSEN
RABIYE
OZGUL
YASAR
HIKMET
MUSERREF
SEBIHA
LATIFE
NAFIYE
NEZAKET
HADICE
CEVRIYE
KUDRET
HAMDIYE
NAHIDE
SEHRI
NAGIHAN
GULSER
GULISTAN
BANU
FETHIYE
NESIBE
GULNAZ
VAHIDE
YURDAGUL
SEVCAN
BERNA
NURI
SINAN
MUHAMMET
ISMET
SABAN
SERDAR
FARUK
YUNUS
SEDAT
MUZAFFER
CELAL
DURSUN
YAKUP
SELAHATTIN
UMIT
NIHAT
ENGIN
RIZA
EMRAH
YASIN
ABDURRAHMAN
MUHARREM
EKREM
ADNAN
ISA
BILAL
CEMIL
MEVLUT
NURETTIN
SELIM
KAMIL
ERHAN
KAZIM
NECATI
OZGUR
IRFAN
HARUN
ILHAN
SABRI
HAKKI
VELI
FERHAT
ZAFER
YUKSEL
SAHIN
ONUR
ABDULKADIR
LEVENT
ERDOGAN
HALIT
HIKMET
YAVUZ
ILYAS
DURMUS
SADIK
VEYSEL
SELCUK
SAMI
BURHAN
TURAN
TUNCAY
BARIS
MUAMMER
FIKRET
AZIZ
NEVZAT
VEDAT
OZCAN
MEMET
REMZI
VOLKAN
BURAK
SAIT
HAYDAR
CETIN
CAN
DOGAN
ERSIN
OZKAN
TAHSIN
ENVER
EYUP
NIYAZI
SUAT
HAMZA
ZIYA
CIHAN
CUMA
IDRIS
FEVZI
DAVUT
CAFER
SENOL
YALCIN
OKTAY
CEM
FUAT
TURGUT
SEVKET
SONER
HAMDI
HAYRETTIN
TAHIR
ADIL
MUHAMMED
TANER
HAMIT
SERIF
SALIM
IZZET
UFUK
FAHRI
ERDEM
SAVAS
RIDVAN
DENIZ
TURGAY
ILKER
FAHRETTIN
SERHAT
YUCEL
CEVDET
HILMI
UNAL
OGUZ
AKIF
DURAN
SERVET
SAKIR
